segment,target_time_s,experiment_id,config_id,config_desc,nsga2_variant,use_improved,representative_time_s,representative_energy_kWh,time_gap_s,status,point_count,source_file
IS02,169,E5,A,Original CC_CR + Original NSGA-II,original,0,169.763564401552,20.0691144708423,0.763564401551974,within target window,1589,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E5_all_configs.mat
IS02,169,E5,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,169.637353867769,20.7473282503502,0.637353867768638,within target window,1042,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E5_all_configs.mat
IS02,169,E5,C,Improved CC_CR + Original NSGA-II,original,1,169.555731749166,20.0768816464741,0.555731749165744,within target window,2098,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E5_all_configs.mat
IS02,169,E5,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,169.497381035503,20.0790728351439,0.497381035503338,within target window,1445,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E5_all_configs.mat
IS02,169,E5,C_LLM,Improved CC_CR + Original NSGA-II + LLM advisor,original,1,169.788851899549,20.0705242117626,0.788851899548916,within target window,2040,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E5_all_configs.mat
IS02,169,E5,D_LLM,Improved CC_CR + BRL-SDE-NSGA-II + LLM advisor,rl_sde,1,169.965503525849,20.0682490648074,0.965503525849471,within target window,1428,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS02\E5_all_configs.mat
IS03,184,E5,A,Original CC_CR + Original NSGA-II,original,0,184.964985523057,25.4017787434535,0.964985523056555,within target window,1599,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E5_all_configs.mat
IS03,184,E5,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,184.958560761782,26.3521214874158,0.958560761781598,within target window,938,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E5_all_configs.mat
IS03,184,E5,C,Improved CC_CR + Original NSGA-II,original,1,184.614388885355,25.4141255765899,0.614388885354543,within target window,1844,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E5_all_configs.mat
IS03,184,E5,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,184.88635506881,25.4022532351104,0.886355068810474,within target window,1508,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E5_all_configs.mat
IS03,184,E5,C_LLM,Improved CC_CR + Original NSGA-II + LLM advisor,original,1,184.617823908292,25.4139142093904,0.617823908292024,within target window,1767,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E5_all_configs.mat
IS03,184,E5,D_LLM,Improved CC_CR + BRL-SDE-NSGA-II + LLM advisor,rl_sde,1,184.91633255069,25.4101113462883,0.916332550690498,within target window,1470,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS03\E5_all_configs.mat
IS04,177,E5,A,Original CC_CR + Original NSGA-II,original,0,177.56470277682,16.9703970767015,0.564702776819644,within target window,1584,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,B,Original CC_CR + BRL-SDE-NSGA-II,rl_sde,0,178.293099332578,17.1731556538077,1.29309933257838,closest to target,952,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,C,Improved CC_CR + Original NSGA-II,original,1,177.877152535296,16.9895769568927,0.877152535296204,within target window,1795,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,D,Improved CC_CR + BRL-SDE-NSGA-II,rl_sde,1,177.909934043212,17.0039925777609,0.909934043211933,within target window,1346,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,C_LLM,Improved CC_CR + Original NSGA-II + LLM advisor,original,1,177.999276151054,17.0023824535304,0.999276151054374,within target window,1785,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
IS04,177,E5,D_LLM,Improved CC_CR + BRL-SDE-NSGA-II + LLM advisor,rl_sde,1,177.940004655831,17.003495669465,0.940004655831018,within target window,1324,C:\Users\inshaallah_kaya\Baru\new_single_train_simulator_cakra\experiment_results\IS04\E5_all_configs.mat
